organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,newly diagnosed patients-diabetes only,newly diagnosed patients-hypertension only,newly diagnosed patients-dm & htn (both),newly diagnosed patients-oral cancer,newly diagnosed patients-breast cancer_ncd,newly diagnosed patients-cervical cancer,newly diagnosed patients-other cancers,newly diagnosed patients-cvds,newly diagnosed patients-copd,newly diagnosed patients-ckd,newly diagnosed patients-nfald,newly diagnosed patients-stroke,newly diagnosed patients-rheumatoid arthritis
SRjaOfgOdW7,AHMADNAGAR District,INP020011,,2362.0,3099.0,731.0,1.0,0.0,5.0,0.0,11.0,17.0,0.0,0.0,18.0,0.0
y9J7k1pN9OA,Akola Circle,,,4106.0,6610.0,2672.0,23.0,23.0,4.0,7.0,487.0,383.0,22.0,40.0,296.0,45.0
qC8kRmVDTDh,AKOLA District,INP020010,,250.0,437.0,97.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
LKmRCfa7kKi,AMRAVATI District,INP020003,,1786.0,2816.0,1518.0,13.0,8.0,3.0,4.0,379.0,9.0,3.0,0.0,233.0,0.0
by8LuXBuJEM,Aurangabad Circle,,,2621.0,3661.0,1149.0,5.0,4.0,0.0,12.0,204.0,134.0,2.0,7.0,37.0,309.0
xF4hs9euAzp,AURANGABAD District,INP020004,,1265.0,1476.0,439.0,1.0,2.0,0.0,1.0,94.0,101.0,2.0,0.0,14.0,6.0
gaOwpAyUNPD,BEED District,INP020005,,4997.0,6610.0,4047.0,2.0,4.0,0.0,3.0,193.0,1098.0,315.0,14.0,117.0,15.0
wH9vOL1BtQ6,BHANDARA District,INP020006,,6931.0,23238.0,3132.0,31.0,8.0,4.0,15.0,218.0,147.0,54.0,48.0,134.0,128.0
rV6qE1poSug,BULDHANA District,INP020007,,569.0,509.0,258.0,0.0,3.0,0.0,0.0,5.0,210.0,6.0,0.0,16.0,0.0
v68mENuVO6i,CHANDRAPUR District,INP020012,,568.0,930.0,286.0,23.0,2.0,3.0,5.0,84.0,139.0,60.0,14.0,75.0,220.0
TNVtygx5jFa,DHULE District,INP020009,,837.0,1114.0,1019.0,0.0,0.0,0.0,0.0,5.0,29.0,0.0,0.0,4.0,0.0
uO7oaa4xK73,GADCHIROLI District,INP020015,,1595.0,2067.0,1059.0,50.0,4.0,8.0,10.0,179.0,193.0,25.0,184.0,54.0,186.0
GEt1mNCoczB,GONDIA District,INP020016,,2108.0,2634.0,2967.0,4.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,4.0,0.0
QtqEfxUglbW,HINGOLI District,INP020014,,119.0,794.0,177.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XkMce0wFkWa,JALGAON District,INP020008,,558.0,751.0,153.0,1.0,0.0,1.0,0.0,0.0,85.0,0.0,6.0,0.0,36.0
eugBHYWFNaX,JALNA District,INP020018,,301.0,255.0,165.0,0.0,0.0,0.0,10.0,91.0,28.0,0.0,0.0,20.0,0.0
gypaPwnDJ1I,Kolhapur Circle,,,7301.0,11524.0,3654.0,18.0,19.0,38.0,19.0,158.0,154.0,73.0,12.0,49.0,207.0
mIG6g6JDHb9,KOLHAPUR District,INP020019,,1026.0,1971.0,644.0,4.0,2.0,34.0,0.0,24.0,3.0,46.0,0.0,11.0,0.0
GG3gJjxAbfx,Latur Circle,,,9673.0,13693.0,5640.0,11.0,8.0,7.0,5.0,383.0,1632.0,378.0,104.0,217.0,133.0
TqxlKYYICWF,LATUR District,INP020017,,1008.0,1415.0,275.0,2.0,1.0,0.0,0.0,0.0,68.0,0.0,1.0,1.0,0.0
b3vBdsycgAD,MAHARASHTRA,INP020,,64519.0,106476.0,41942.0,245.0,126.0,116.0,1149.0,2797.0,4484.0,882.0,777.0,1341.0,1750.0
MOrPVrbsUV5,Mumbai Circle,,,3075.0,4263.0,1785.0,4.0,1.0,0.0,2.0,358.0,769.0,43.0,48.0,216.0,12.0
xErXLgdjqAn,MUMBAI District,INP020021,,,,,,,,,,,,,,
KnqPnNOQioa,Nagpur Circle,,,15409.0,35570.0,13780.0,112.0,20.0,19.0,33.0,513.0,574.0,142.0,267.0,294.0,603.0
wbug8Mxo6zC,NAGPUR District,INP020020,,3846.0,5835.0,6124.0,1.0,0.0,0.0,1.0,7.0,39.0,0.0,18.0,2.0,61.0
