organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,newly diagnosed patients-diabetes only,newly diagnosed patients-hypertension only,newly diagnosed patients-dm & htn (both),newly diagnosed patients-oral cancer,newly diagnosed patients-breast cancer_ncd,newly diagnosed patients-cervical cancer,newly diagnosed patients-other cancers,newly diagnosed patients-cvds,newly diagnosed patients-copd,newly diagnosed patients-ckd,newly diagnosed patients-nfald,newly diagnosed patients-stroke,newly diagnosed patients-rheumatoid arthritis
SRjaOfgOdW7,AHMADNAGAR District,INP020011,,1962.0,2611.0,612.0,2.0,2.0,0.0,0.0,6.0,14.0,4.0,4.0,57.0,5.0
y9J7k1pN9OA,Akola Circle,,,4404.0,7883.0,2498.0,24.0,41.0,11.0,16.0,169.0,1336.0,60.0,35.0,168.0,822.0
qC8kRmVDTDh,AKOLA District,INP020010,,181.0,327.0,105.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0
LKmRCfa7kKi,AMRAVATI District,INP020003,,1033.0,2476.0,768.0,11.0,26.0,3.0,2.0,127.0,28.0,2.0,0.0,93.0,0.0
by8LuXBuJEM,Aurangabad Circle,,,1744.0,2584.0,917.0,12.0,0.0,0.0,1.0,78.0,187.0,26.0,16.0,14.0,110.0
xF4hs9euAzp,AURANGABAD District,INP020004,,993.0,1216.0,431.0,2.0,0.0,0.0,0.0,44.0,76.0,3.0,0.0,7.0,29.0
gaOwpAyUNPD,BEED District,INP020005,,2014.0,2838.0,1396.0,3.0,8.0,4.0,1.0,229.0,908.0,195.0,0.0,108.0,0.0
wH9vOL1BtQ6,BHANDARA District,INP020006,,2732.0,8623.0,1280.0,29.0,10.0,1.0,16.0,226.0,207.0,28.0,37.0,136.0,49.0
rV6qE1poSug,BULDHANA District,INP020007,,142.0,199.0,74.0,0.0,0.0,0.0,0.0,0.0,176.0,45.0,0.0,58.0,0.0
v68mENuVO6i,CHANDRAPUR District,INP020012,,580.0,1356.0,419.0,9.0,6.0,2.0,10.0,88.0,86.0,39.0,0.0,71.0,117.0
TNVtygx5jFa,DHULE District,INP020009,,386.0,689.0,144.0,1.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,5.0,41.0
uO7oaa4xK73,GADCHIROLI District,INP020015,,1375.0,1947.0,1309.0,11.0,7.0,1.0,4.0,106.0,42.0,15.0,12.0,32.0,23.0
GEt1mNCoczB,GONDIA District,INP020016,,807.0,1655.0,750.0,4.0,1.0,3.0,0.0,3.0,12.0,1.0,0.0,2.0,0.0
QtqEfxUglbW,HINGOLI District,INP020014,,88.0,543.0,79.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0
XkMce0wFkWa,JALGAON District,INP020008,,1166.0,1900.0,2084.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
eugBHYWFNaX,JALNA District,INP020018,,443.0,454.0,232.0,4.0,0.0,0.0,1.0,34.0,84.0,23.0,16.0,7.0,81.0
gypaPwnDJ1I,Kolhapur Circle,,,6850.0,16386.0,7681.0,12.0,20.0,10.0,15.0,217.0,350.0,83.0,26.0,162.0,97.0
mIG6g6JDHb9,KOLHAPUR District,INP020019,,880.0,2065.0,695.0,1.0,0.0,4.0,1.0,58.0,46.0,30.0,0.0,71.0,15.0
GG3gJjxAbfx,Latur Circle,,,5155.0,7438.0,2832.0,11.0,15.0,4.0,6.0,366.0,1492.0,243.0,2.0,183.0,143.0
TqxlKYYICWF,LATUR District,INP020017,,1081.0,1533.0,283.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
b3vBdsycgAD,MAHARASHTRA,INP020,,47206.0,86784.0,32149.0,196.0,134.0,58.0,104.0,2277.0,4804.0,668.0,223.0,1300.0,1962.0
MOrPVrbsUV5,Mumbai Circle,,,4662.0,6497.0,3031.0,5.0,4.0,1.0,3.0,307.0,325.0,57.0,29.0,158.0,328.0
xErXLgdjqAn,MUMBAI District,INP020021,,572.0,394.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KnqPnNOQioa,Nagpur Circle,,,6775.0,15644.0,4504.0,54.0,24.0,7.0,32.0,438.0,381.0,85.0,49.0,249.0,189.0
wbug8Mxo6zC,NAGPUR District,INP020020,,1216.0,1845.0,710.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
YBdLW8HbtTq,NANDED District,INP020024,,1496.0,2416.0,643.0,5.0,5.0,0.0,4.0,134.0,555.0,47.0,2.0,74.0,112.0
R3e0vEeNGKf,NANDURBAR District,INP020025,,1148.0,1765.0,404.0,19.0,7.0,4.0,11.0,36.0,44.0,42.0,0.0,43.0,0.0
bpwdZ43qNP8,NASHIK District,INP020023,,2998.0,4345.0,1751.0,19.0,5.0,1.0,3.0,354.0,389.0,47.0,62.0,169.0,86.0
lt9nHhvDkE9,Nasik Circle,,,7660.0,11310.0,4995.0,41.0,14.0,5.0,14.0,396.0,487.0,93.0,66.0,274.0,133.0
ceSRLSuzCVv,OSMANABAD District,INP020027,,564.0,651.0,510.0,3.0,2.0,0.0,1.0,3.0,26.0,1.0,0.0,1.0,31.0
hNKI6wGAYKW,PALGHAR District,,,1939.0,2390.0,1343.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
KybL1gHWlQz,PARBHANI District,INP020028,,220.0,371.0,175.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tt1jP7AMMXh,Pune Circle,,,9956.0,19042.0,5691.0,37.0,16.0,20.0,17.0,306.0,246.0,21.0,0.0,92.0,140.0
YeFrXHg9G9A,PUNE District,INP020026,,7827.0,14917.0,3705.0,0.0,5.0,11.0,1.0,219.0,170.0,8.0,0.0,16.0,140.0
BoAXl0VBwzM,RAIGAD District,INP020030,,391.0,573.0,130.0,1.0,0.0,0.0,0.0,9.0,18.0,4.0,0.0,4.0,19.0
iq9F3uBuH8V,RATNAGIRI District,INP020031,,572.0,1361.0,434.0,6.0,6.0,1.0,4.0,32.0,68.0,5.0,0.0,25.0,19.0
IQkIUNqMpZh,SANGLI District,INP020029,,191.0,189.0,30.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
eoPDxhiVN0N,SATARA District,INP020033,,1442.0,2884.0,1392.0,33.0,11.0,8.0,13.0,85.0,62.0,13.0,0.0,75.0,0.0
WtAaAL4DqyP,SINDHUDURG District,INP020034,,5207.0,12771.0,6522.0,5.0,14.0,5.0,10.0,127.0,234.0,48.0,26.0,66.0,61.0
TXW9gLCDId8,SOLAPUR District,INP020032,,687.0,1241.0,594.0,4.0,0.0,1.0,3.0,2.0,14.0,0.0,0.0,1.0,0.0
gebOTX312Ko,THANE District,INP020001,,1760.0,3140.0,1481.0,4.0,4.0,1.0,3.0,298.0,297.0,53.0,29.0,154.0,309.0
O6nkEM1HSlL,WARDHA District,INP020035,,65.0,218.0,36.0,1.0,0.0,0.0,2.0,15.0,33.0,2.0,0.0,8.0,0.0
cEtISxeARwH,WASHIM District,INP020002,,362.0,679.0,203.0,13.0,15.0,8.0,14.0,42.0,20.0,8.0,0.0,17.0,6.0
dSaNDIEQRBn,YEOTMAL District,INP020013,,2686.0,4202.0,1348.0,0.0,0.0,0.0,0.0,0.0,1103.0,0.0,35.0,0.0,816.0
